id,tv_shows,description,poster,trailer,year_of_release,number_of_seasons,age_ratingID,genreID,director,actors
11,Alexa and Katie,Lifelong best friends navigate their freshman year of high school together while Alexa undergoes treatment for cancer.,https://m.media-amazon.com/images/M/MV5BZDEyNDBjYjEtYTEyNC00MDhmLWE1NDgtZmQyNWQyZTVmMGY5XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/lp1FezHJ2FA?si=kFyjq2yHmFwypn2Y,2018,4,1,3,Heather Wordham (Creator),"Paris Berelc, Isabel May, Tiffani Thiessen"
12,Julie and the Phantoms,"A high school musician helps three ghost musicians from 1995 achieve the success they missed, while they help her rediscover her love for music.",https://m.media-amazon.com/images/M/MV5BNWIxNzllYjEtZmM3ZS00NjNlLWIxODAtNTIyOWJhZWVhY2FlXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/H14cBj0qO6Y?si=YPLkuw3r_NnCRVa1,2020,1,1,3,"Kenny Ortega, Paul Hoen, & Kabir Akhtar (Created by Dan Cross & David Hoge)","Madison Reyes, Charlie Gillespie, Owen Patrick Joyner"
13,Lockwood and Co,"Three teenage paranormal investigators run a small agency in London, tackling dangerous ghosts without adult supervision.",https://m.media-amazon.com/images/M/MV5BMzI1ODdjY2UtYzdkOC00Y2NjLWE2NzYtZjlmYWFkMGE1MDBmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/7-iYxGLpQzo?si=wqsvX4gkk-TDMgjR,2023,1,4,1,"Joe Cornish, William McGregor, & Catherine Morshead","Ruby Stokes, Cameron Chapman, Ali Hadji-Heshmati"
14,Shadow and Bone,"An orphaned mapmaker discovers a rare power that could unite her war-torn country, making her a target for powerful forces.",https://m.media-amazon.com/images/M/MV5BZWM1NTJiNzUtYTJlYy00NWYyLTliNjUtN2FjNzdkOWQxNWRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/b1WHQTbJ7vE?si=f1eQBPXYL6JSPUBV,2021,2,3,1,"Lee Toland Krieger, Dan Trachtenberg, Eric Heisserer, et al.","Jessie Mei Li, Archie Renaux, Ben Barnes"
15,The Baby Sitter's Club,A group of middle school friends launch a successful local babysitting business while navigating teenage life and family changes.,https://m.media-amazon.com/images/M/MV5BZjNiYzMwMzAtNzlmMy00ZWY0LTk2NjMtODg1MTczNmVjMGI3XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/vivBx21jYC0?si=qq7JOysvryYK3OIG,2020,2,1,3,"Lucia Aniello, Andrew DeYoung, & Karen Maine (Developed by Rachel Shukert)","Sophie Grace, Momona Tamada, Shay Rudolph"
16,Lost in Space,"After crash-landing on an alien planet, the Robinson family must fight against all odds to survive and escape.",https://m.media-amazon.com/images/M/MV5BMTU1MzAwODM4OF5BMl5BanBnXkFtZTgwMjA4OTY5NDM@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/fzmM0AB60QQ?si=pdYafStUgv1R3uS0,2018,3,2,8,"Neil Marshall, Tim Southam, & Stephen Surjik (Developed by Matt Sazama & Burk Sharpless)","Molly Parker, Toby Stephens, Maxwell Jenkins"
17,Anne with an 'E',"An imaginative, spirited orphan girl is mistakenly sent to live with an elderly sister and brother on Prince Edward Island.",https://m.media-amazon.com/images/M/MV5BZWUzZGM1OTYtMWUyNS00NTBmLTg1YTMtOTllMWFmYjk2NGU2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/S5qJXYNNINo?si=977UrnSGDC03e7tu,2017,3,2,7,"Niki Caro, Helen Shaver, & Miranda de Pencier (Created by Moira Walley-Beckett)","Amybeth McNulty, Geraldine James, R. H. Thomson"
18,Project Mc^2,A teenage secret agent and her science-savvy best friends use STEAM skills to save the day on spy missions.,https://m.media-amazon.com/images/M/MV5BMWE4MGFjMDktZjBiNy00ZjBlLWE3NmEtZTc1YThmNTVlNjE5XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/INiV-J_52FY?si=jdFa9-juhfsST5cm,2015,6,2,3,Michael Tobias & Ken Friss (Created by Andy Yeatman),"Mika Abdalla, Ysa Penarejo, Victoria Vida"
19,MH370: The Plane that Dissapeared,A investigative documentary series exploring the mysterious disappearance of Malaysian Airlines Flight 370 and its theories.,https://m.media-amazon.com/images/M/MV5BZjg1NTY4ZDgtNDQyOS00NWMwLWFjMGMtNTRjNGU4ZjZkYzgxXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/TDg0m2Q3H8c?si=4tO3EeR9Wia5uZ4w,2023,1,4,9,Daniel Hunter,"Jeff Wise, Cyndi Rivera, Florence de Changy"
20,Malibu Rescue,A ragtag group of aspiring junior lifeguards compete against snobby locals for ultimate bragging rights on Malibu beach.,https://m.media-amazon.com/images/M/MV5BMTM1ZWFiZjYtNjhlZC00YzUyLTg2MzQtM2M2OGY1NjBiYWI5XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/_dOsJFhJNGc?si=Skx7w_Co7YFQFmzN,2019,1,1,3,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson"
21,Cobra Kai,"Decades after their 1984 tournament, Johnny Lawrence and Daniel LaRusso reignite their legendary karate rivalry.",https://m.media-amazon.com/images/M/MV5BYjA3NDkwNzktNjJkYi00ODNhLWFhYzQtYzk5NjU4MDM0OWZmXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/xCwwxNbtK6Y?si=_tgRp-8aNYpMJ-qY,2018,6,4,5,"Josh Heald, Jon Hurwitz, & Hayden Schlossberg (Creators)","William Zabka, Ralph Macchio, Xolo Maridueña"
22,Loki,The mercurial God of Mischief is captured by the Time Variance Authority and forced to help fix broken timelines.,https://i.pinimg.com/736x/f3/20/3a/f3203aa86f05b4eaa51175fb4c537add.jpg,https://www.youtube.com/embed/nW948Va-l10?si=8Ju1ZS_rw4S_oYLz,2021,2,4,1,"Kate Herron (Season 1), Justin Benson & Aaron Moorhead (Season 2)","Tom Hiddleston, Sophia Di Martino, Owen Wilson"
23,Wanda Vision,"Wanda Maximoff and Vision live an idealized suburban life in a mysterious town, only to realize everything is not as it seems.",https://m.media-amazon.com/images/M/MV5BZTMxMmM1ODItMTZiMS00NjI1LWEwODctMjQ4ZjY4ODliNDI0XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/sj9J2ecsSpo?si=HhdO-eWZbvKy_w8M,2021,1,4,1,Matt Shakman (Created by Jac Schaeffer),"Elizabeth Olsen, Paul Bettany, Kathryn Hahn"
24,Moon Knight,A mild-mannered gift-shop employee discovers he has dissociative identity disorder and shares a body with a ruthless mercenary tied to Egyptian gods.,https://m.media-amazon.com/images/M/MV5BNDAzNmYwZjgtNDc3YS00ZDMyLTk0MjktMTg4MGNmNGU3MjlhXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/x7Krla_UxRg?si=ymGFR7lpj1L-AjrC,2022,1,4,1,"Mohamed Diab, Justin Benson, & Aaron Moorhead","Oscar Isaac, Ethan Hawke, May Calamawy"
25,Ms Marvel,A superhero-obsessed Jersey City teenager gains her own cosmic superpowers from a mysterious family heirloom.,https://m.media-amazon.com/images/M/MV5BNzlkNjBmOWUtOTgzZS00OWIzLThkNWEtZTg5MGY2ODAyYzZjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/m9EX0f6V11Y?si=bT8mMWtbHAJOgYt8,2022,1,3,1,"Adil El Arbi & Bilall Fallah, Meera Menon, & Sharmeen Obaid-Chinoy","Iman Vellani, Matt Lintz, Yasmeen Fletcher"
