id,films,description,poster,trailer,year_of_release,runtime,age_ratingID,genreID,director,actors
11,Anonymously Yours,"Two high schoolers start an anonymous digital friendship, completely unaware they actually know (and dislike) each other in real life.",https://m.media-amazon.com/images/M/MV5BNzA3MzlmNTktZWJiNS00MTEzLTgwOTYtOThmYmZkZDRlMDQ3XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/smAIFPnBvRg?si=xhnCycAYzduiaou2,2020,1h 40m,5,3,María Torres,"Annie Cabello, Ralf (Marco Antonio Morales), Harold Azuara"
12,Over the moon,"Driven by memories of her mother, a clever young girl builds a rocket ship to travel to the moon and meet a mythical goddess.",https://m.media-amazon.com/images/M/MV5BYTZmYTNiYjctYzM2Ni00NjIwLTg2NzQtNDZkN2M4ZjgwYjExXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/26DIABx44Tw?si=Do9Weytajzqdwxsy,2018,1h 35m,2,1,Glen Keane & John Kahrs,"Cathy Ang, Phillipa Soo, Ken Jeong"
13,The Christmas Chronicles,A brother and sister accidentally crash Santa's sleigh and have to work through the night with Santa to save Christmas.,https://m.media-amazon.com/images/M/MV5BNTA3NjU3OTM2MV5BMl5BanBnXkFtZTgwNjQ2MzE1NjM@._V1_.jpg,https://www.youtube.com/embed/YaeDa_Uempk?si=zDOyoHiYi8AcFmER,2008,1h 44m,2,1,Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis"
14,Jodha Akbar,An epic historical romance about the political marriage between Mughal Emperor Akbar and Rajput Princess Jodhaa.,https://m.media-amazon.com/images/M/MV5BMjA3MDQ3ODE0N15BMl5BanBnXkFtZTcwMjgyNjU4MQ@@._V1_.jpg,https://www.youtube.com/embed/vYvl3CIX0zQ?si=uhGHEZuMCPhXA6Tb,2008,3h 33m,4,7,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood"
15,My Girl,"A coming-of-age classic about an 11-year-old girl navigating love, loss, and growing up during the summer of 1972.",https://m.media-amazon.com/images/M/MV5BNmI5M2EzZDUtZTBkZS00YWFmLWFhZTMtNjc3YTllZDBhODQ4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/KSyKO0Lklmo?si=gnbwf7E3UKBOP2PG,2991,1h 42m,2,3,Howard Zieff,"Anna Chlumsky, Macaulay Culkin, Dan Aykroyd"
16,The Maze Runner,"A teen wakes up with no memories in the middle of a massive, constantly shifting maze alongside a group of boys.",https://m.media-amazon.com/images/M/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/AwwbhhjQ9Xk?si=q9587vlkB8hdi1B-,2014,1h 53m,4,10,Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster"
17,Enola Holmes 2,"Sherlock's younger sister takes on her first official case as a detective to find a missing girl, unraveling a high-stakes conspiracy.",https://m.media-amazon.com/images/M/MV5BZjRjZjZhNzUtMDQyMC00OWZmLWIzMjQtZDM2OWRhNzgwOGU2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/KKXNmYoPkx0?si=jhNMPclHpIkOr_ME,2022,2h 09m,4,7,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Louis Partridge"
18,Fidda,"An NRI doctor falls in love with a feisty, independent village woman in Telangana, but their differing goals create conflict.",https://m.media-amazon.com/images/M/MV5BYTZjYjhlZTMtYzg1OC00OWYwLThhNGEtY2M2MmNjM2FmMzhiXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/embed/AVtvjfoXNXc?si=FlIIZKcQvb4JiM4h,2017,2h 25m,2,4,Sekhar Kammula,"Varun Tej, Sai Pallavi, Sai Chand"
19,Khabie Khushi Khabie Gham...,An epic Bollywood drama about an adopted son who is disowned by his wealthy father after marrying a woman from a lower socioeconomic background.,https://m.media-amazon.com/images/M/MV5BN2MyZGVhNmMtY2JkNy00ZmIzLTkwOGItY2NiM2MyOGMxODkzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/7uY1JbWZKPA?si=efnC5ovCBd0nmFKC,2001,3h 30m,2,6,Karan Johar,"Shah Rukh Khan, Amitabh Bachchan, Kajol"
20,Disenchanted,"Years after her fairytale ending, Giselle questions her happiness and inadvertently turns her suburban town into a real-life fairytale gone wrong.",https://m.media-amazon.com/images/M/MV5BNDBmNGU3YmQtYThjNi00MDNhLWIyNWItNGI0MmMwYjMxODM2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/DY63dfyn7HQ?si=jfCZFQN9G982Tiy5,2022,1h 59m,2,1,Adam Shankman,"Amy Adams, Patrick Dempsey, Maya Rudolph"
21,"Narnia: The Lion, The Witch and the Wardrobe",Four siblings step through a magic wardrobe into a magical land frozen in eternal winter by a White Witch.,https://m.media-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_.jpg,https://www.youtube.com/embed/usEkWtuNn-w?si=ZW_hdJOOb12V0PjG,2005,2h 23m,2,1,Andrew Adamson,"Georgie Henley, Skandar Keynes, William Moseley"
22,The Parent Trap,Identical twins separated at birth meet at summer camp and scheme to get their divorced parents back together.,https://m.media-amazon.com/images/M/MV5BNTRkYmY3Y2QtMGM2Ny00MTNmLTk4NjYtNjMwNTNmMGY5ZDllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://www.youtube.com/embed/PMAhVpgzmRU?si=EVCLrOR6_4WrRYc4,1998,2h 08m,2,3,Nancy Meyers,"Lindsay Lohan, Dennis Quaid, Natasha Richardson"
23,Coco,An aspiring young musician enters the vibrant Land of the Dead to discover the secret behind his family's ancestral ban on music.,https://lumiere-a.akamaihd.net/v1/images/p_coco_19736_fd5fa537.jpeg,https://www.youtube.com/embed/xlnPHQ3TLX8?si=qZVyyYBtaYOOTGK-,2017,1h 45m,2,1,Lee Unkrich & Adrian Molina,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
24,Taylor Swift: Eras Tour (Taylor's Version),"A concert film capturing Taylor Swift's career-spanning stadium tour, featuring cinematic performances of her biggest hits.",https://lumiere-a.akamaihd.net/v1/images/a9c92c62ef6e1b743132f2e00a41a8a3_2764x4096_8a3850d6.jpeg,https://www.youtube.com/embed/5UBl0rLEl0w?si=Er1wL5PEENpASr8_,2023,S,3,9,Sam Wrench,Taylor Swift
